pushup_pose,pose_world_landmarks
0,"[-2.01115012e-01  2.97848135e-04 -8.36871207e-01  1.00000000e+00
 -1.59575805e-01 -3.04253120e-02 -8.50876153e-01  1.00000000e+00
 -1.58447370e-01 -2.40917336e-02 -8.36283088e-01  1.00000000e+00
 -1.59999192e-01 -2.46862452e-02 -8.34454536e-01  1.00000000e+00
 -1.93400845e-01 -5.58412150e-02 -8.32400680e-01  1.00000000e+00
 -1.91469148e-01 -5.63037097e-02 -8.44950080e-01  1.00000000e+00
 -1.87851578e-01 -3.94195095e-02 -8.19662511e-01  1.00000000e+00
  1.85344592e-02 -6.72465190e-02 -7.29159296e-01  1.00000000e+00
 -1.93212464e-01 -6.28185943e-02 -6.40540302e-01  1.00000000e+00
 -1.21605530e-01 -3.99807282e-03 -7.80988991e-01  9.99998689e-01
 -1.72563821e-01  1.63262729e-02 -7.71644115e-01  9.99999404e-01
  1.56086028e-01 -7.93985277e-02 -4.23548907e-01  9.99978423e-01
 -2.14752480e-01 -1.78599596e-01 -4.04445618e-01  9.99999523e-01
  2.29243949e-01 -1.35435894e-01 -2.54969150e-01  8.62005293e-01
 -3.36853683e-01 -7.35484362e-02 -3.90764266e-01  9.97445226e-01
  2.95135468e-01 -4.12138067e-02  6.50171041e-02  1.11841351e-01
 -4.16463494e-01  1.82328552e-01 -3.19420666e-01  9.35987651e-01
  2.87310809e-01 -6.74182475e-02  1.30999371e-01  1.33399457e-01
 -4.18570399e-01  2.01365232e-01 -3.45480204e-01  8.84374261e-01
  2.77336448e-01 -3.19515765e-02  1.16106361e-01  1.32527068e-01
 -3.50524485e-01  2.00482488e-01 -3.40517431e-01  8.87946367e-01
  2.99612820e-01 -1.46961920e-02  6.84358999e-02  1.68952793e-01
 -3.93734008e-01  2.01171666e-01 -3.27628762e-01  8.82485151e-01
  1.00618206e-01  3.55958100e-03  2.17516813e-02  9.99983668e-01
 -1.06969655e-01 -7.48986285e-03 -2.53412221e-02  9.99990344e-01
  3.68756324e-01  1.73040509e-01  2.01926947e-01  9.76497889e-01
 -1.59933001e-01  1.47549689e-01  3.24326217e-01  6.29173994e-01
  6.79492712e-01  1.66074395e-01  4.77210194e-01  9.97333407e-01
 -1.76568374e-01  2.68657148e-01  7.12398648e-01  9.27547336e-01
  6.95465446e-01  1.67179883e-01  5.03544509e-01  9.97651398e-01
 -1.91399708e-01  2.81391591e-01  7.17257917e-01  9.44665611e-01
  7.00598896e-01  1.67581052e-01  4.96193647e-01  9.72193003e-01
 -2.53241837e-01  2.99627602e-01  7.43304491e-01  6.05060399e-01]"
0,"[-0.7328583   0.12389673 -0.34988451  0.99969637 -0.70957154  0.07290413
 -0.37155971  0.99978369 -0.70759678  0.07329093 -0.35875136  0.99974173
 -0.71038234  0.0754572  -0.35796642  0.99984086 -0.73633164  0.06511963
 -0.35057873  0.99984193 -0.73458201  0.06304577 -0.36353505  0.99981397
 -0.72091275  0.05644431 -0.34025502  0.9998908  -0.58119828 -0.00299875
 -0.39244464  0.99994242 -0.60211593  0.01930989 -0.24798825  0.99990547
 -0.68272948  0.10516618 -0.34521392  0.99993443 -0.67117035  0.10439712
 -0.33408469  0.99991238 -0.35119906  0.02033697 -0.32350695  0.99992478
 -0.55644423 -0.01610091  0.00888304  0.99978656 -0.12145528 -0.03440581
 -0.29458123  0.99454826 -0.35165504 -0.03829644  0.17163529  0.00910022
 -0.18689269  0.12452531 -0.13572301  0.97305143 -0.44209525  0.14686221
  0.27218756  0.49928173 -0.24123259  0.1832561  -0.12873989  0.95186657
 -0.51616228  0.15496732  0.25655964  0.65833807 -0.27943826  0.17978144
 -0.12181149  0.94351661 -0.55370045  0.16047668  0.24706666  0.65569335
 -0.19783078  0.12576668 -0.13251397  0.88567686 -0.46870753  0.16688898
  0.26023218  0.55537373  0.02877275  0.01735877 -0.07252033  0.99855965
 -0.03582191 -0.01944563  0.07003015  0.99864906  0.45375487 -0.02277924
  0.05990336  0.7899152   0.32879275 -0.04961949  0.20461637  0.02073998
  0.77531362 -0.04820008  0.23012124  0.8732      0.75538725 -0.04278654
  0.39962655  0.12723118  0.8069855  -0.02110777  0.2476946   0.83826965
  0.78747022 -0.02641991  0.38402477  0.29582521  0.79021639  0.12397286
  0.21389171  0.837475    0.7389431   0.09389366  0.36168146  0.28532606]"
1,"[ 0.39368138 -0.23167785 -0.6223678   0.99997902  0.39260498 -0.26705503
 -0.62289298  0.99996245  0.39038503 -0.2663717  -0.61039567  0.99996793
  0.38808623 -0.26779273 -0.61424434  0.99997556  0.38224205 -0.27323899
 -0.6544804   0.99998534  0.38299519 -0.27076676 -0.67151642  0.99998987
  0.37586367 -0.26209459 -0.64445657  0.99998879  0.35485232 -0.27673838
 -0.50254202  0.99998605  0.22857651 -0.27998641 -0.61580259  0.99997902
  0.38823953 -0.21005054 -0.56244713  0.99998152  0.34123802 -0.20005123
 -0.6217128   0.9999851   0.37304094 -0.18693861 -0.33700213  0.99999797
  0.16541803 -0.23500079 -0.43967447  0.99999261  0.38908774  0.03121535
 -0.2690624   0.95890397  0.04350287  0.00529366 -0.49226269  0.99914026
  0.40925425  0.29011819 -0.22125471  0.98089474  0.037627    0.19851674
 -0.5420987   0.99944204  0.45016378  0.30266184 -0.21181242  0.97853124
  0.0498839   0.25059241 -0.63280773  0.99866962  0.4301458   0.31115952
 -0.25327444  0.9838261   0.13051066  0.25468826 -0.62654072  0.99871111
  0.39306718  0.32464933 -0.23491088  0.98105717  0.06842697  0.21542442
 -0.55610216  0.99729079  0.09625355  0.02275126  0.08204085  0.99998522
 -0.09077956 -0.02561514 -0.07872336  0.99999285 -0.02408411  0.31360811
  0.26751181  0.28732952 -0.3147414   0.17407443  0.08983153  0.98428577
 -0.09398833  0.34870833  0.68403918  0.39453605 -0.64932972  0.33960736
  0.3511411   0.99556571 -0.1099118   0.33511281  0.73562306  0.30354697
 -0.6766057   0.35875684  0.34592059  0.93018681 -0.1304514   0.35987225
  0.74235249  0.69051707 -0.70882809  0.4241384   0.26291618  0.99061829]"
1,"[-0.49277633 -0.16547792 -0.61158192  0.99998009 -0.45872486 -0.21073122
 -0.62514412  0.99998569 -0.45704931 -0.20768096 -0.60944611  0.99997902
 -0.46034476 -0.20759207 -0.61184865  0.99998605 -0.48947737 -0.21449541
 -0.61091787  0.99998868 -0.48813489 -0.21800132 -0.63145459  0.99998593
 -0.47326952 -0.21565178 -0.60435045  0.99999309 -0.32720795 -0.24603206
 -0.60042459  0.99998665 -0.39470667 -0.19218215 -0.49015123  0.99998307
 -0.44337183 -0.16862194 -0.58971202  0.99998093 -0.44328466 -0.15572293
 -0.58968878  0.99998403 -0.14733437 -0.13298571 -0.51472718  0.99987841
 -0.46128017 -0.17681506 -0.23357114  0.99995673 -0.11992955  0.12287021
 -0.53592402  0.99773186 -0.41509187  0.06814273 -0.176846    0.53694987
 -0.12839912  0.34619156 -0.47743636  0.99504328 -0.45077479  0.31381088
 -0.19845311  0.79721826 -0.13933405  0.40244529 -0.50791097  0.98820859
 -0.47529581  0.32302779 -0.24665827  0.75887555 -0.17679672  0.41064316
 -0.51416767  0.98894101 -0.4663496   0.29877222 -0.27410686  0.80160707
 -0.12655675  0.36580929 -0.48189697  0.9708209  -0.44707698  0.3186239
 -0.22391118  0.75103188  0.06515342 -0.00882223 -0.06138329  0.99995661
 -0.06692193  0.00598334  0.0599762   0.99996889  0.35175973  0.1115227
  0.20564051  0.82958806  0.22363603  0.09427451  0.32172018  0.11907472
  0.5259133   0.20112707  0.48987216  0.92533684  0.45511892  0.19550362
  0.64388746  0.34856275  0.53898221  0.2362825   0.52148783  0.7620455
  0.46613511  0.21574531  0.63950372  0.33951914  0.50575548  0.33290002
  0.4781256   0.93923509  0.39199036  0.2845825   0.59438843  0.67227745]"
0,"[ 6.79123819e-01  2.47675538e-01 -9.78063568e-02  9.98101294e-01
  6.95612133e-01  2.08197981e-01 -8.90027657e-02  9.94392753e-01
  6.96138680e-01  2.08731711e-01 -7.70982504e-02  9.96170819e-01
  6.96279287e-01  2.08923399e-01 -8.14793706e-02  9.96373594e-01
  7.01274395e-01  2.12137252e-01 -1.36060461e-01  9.96922433e-01
  6.99034214e-01  2.14523792e-01 -1.49825424e-01  9.98669982e-01
  6.89891756e-01  2.16955364e-01 -1.26191318e-01  9.98548687e-01
  6.53423071e-01  1.26305655e-01 -1.12019721e-02  9.99249160e-01
  5.76639771e-01  8.82309675e-02 -1.69355989e-01  9.98905182e-01
  6.54155552e-01  2.47395635e-01 -5.56634963e-02  9.98193920e-01
  6.11257911e-01  2.31281400e-01 -1.27931312e-01  9.98405993e-01
  4.78744000e-01  6.01195954e-02  1.35325938e-01  9.99856234e-01
  5.23617327e-01  1.00951955e-01 -1.06624387e-01  9.99949694e-01
  3.26171756e-01  2.49419212e-02  2.67480791e-01  1.85666859e-01
  2.76615530e-01  3.43888551e-02 -2.39266500e-01  9.94392633e-01
  3.26077759e-01  2.29921103e-01  4.48240399e-01  2.17295885e-02
  2.92008311e-01  2.08237186e-01 -3.56018811e-01  9.99769866e-01
  4.08959180e-01  2.34490603e-01  4.77122724e-01  7.74140283e-02
  3.77798438e-01  2.59610832e-01 -4.25224066e-01  9.99879956e-01
  4.44775403e-01  2.34234303e-01  4.62174833e-01  9.02174190e-02
  4.33786035e-01  2.81029105e-01 -3.80958468e-01  9.99870658e-01
  3.33543628e-01  2.50399023e-01  4.42543089e-01  8.74998719e-02
  3.26924622e-01  2.22293466e-01 -3.50263149e-01  9.99750078e-01
  8.23991094e-03 -4.64705005e-03  1.23689555e-01  9.99165177e-01
 -2.34122621e-04  7.46602798e-03 -1.22415781e-01  9.99725997e-01
 -4.01406974e-01 -1.16542026e-01  1.22880861e-01  1.19733863e-01
 -3.50037247e-01 -1.11821920e-01 -9.80967879e-02  9.75986183e-01
 -7.62174547e-01 -1.93185464e-01  2.40788668e-01  5.48945010e-01
 -7.31044531e-01 -3.00846159e-01  1.92179270e-02  9.89460886e-01
 -7.92721093e-01 -2.25347906e-01  2.61652112e-01  8.03713918e-01
 -7.63246655e-01 -3.21902305e-01 -8.54909513e-03  9.88004088e-01
 -8.26721907e-01 -1.76343277e-01  2.45596647e-01  8.18818092e-01
 -7.64575481e-01 -2.62454450e-01 -2.87139025e-02  9.84255970e-01]"
0,"[ 9.33974087e-02  2.60484606e-01 -4.94820982e-01  9.99490380e-01
  1.17686488e-01  2.28066385e-01 -5.39926410e-01  9.99689579e-01
  1.19965754e-01  2.26096332e-01 -5.24637759e-01  9.99644399e-01
  1.19559310e-01  2.25409716e-01 -5.24599671e-01  9.99720514e-01
  7.88349584e-02  2.43466839e-01 -5.39848804e-01  9.99831796e-01
  7.45251551e-02  2.38398015e-01 -5.58926940e-01  9.99887228e-01
  6.88381493e-02  2.31522053e-01 -5.30761123e-01  9.99936700e-01
  1.53277233e-01  1.53588846e-01 -5.63690364e-01  9.99671459e-01
 -1.48516130e-02  1.06336072e-01 -5.50083756e-01  9.99877572e-01
  9.26598012e-02  2.45675296e-01 -4.82597470e-01  9.99235868e-01
  4.17947546e-02  2.14528084e-01 -5.03255427e-01  9.99419212e-01
  2.06978157e-01  7.21510425e-02 -4.08971965e-01  9.99633193e-01
 -1.79839149e-01  1.73661590e-01 -3.98513854e-01  9.99917865e-01
  4.04992133e-01  1.36386454e-01 -3.38152081e-01  7.67120063e-01
 -4.86615270e-01  2.01433420e-01 -3.48425716e-01  9.28920984e-01
  4.97666121e-01  3.23925763e-01 -2.70784229e-01  5.84661067e-01
 -6.38684690e-01  3.86622071e-01 -3.67539197e-01  9.67768550e-01
  5.75980425e-01  3.80670071e-01 -2.74315387e-01  7.03113794e-01
 -7.29368031e-01  4.37669992e-01 -4.61056322e-01  9.77566183e-01
  5.26838005e-01  4.08035845e-01 -2.79189020e-01  7.39217281e-01
 -6.99054360e-01  5.00765085e-01 -4.51208293e-01  9.76350605e-01
  4.73471761e-01  3.32642972e-01 -2.65794098e-01  6.47622645e-01
 -6.30194366e-01  4.21977818e-01 -3.71298134e-01  9.30465698e-01
  1.14478879e-01 -1.72512345e-02  1.75772849e-02  9.99597847e-01
 -1.13893941e-01  2.36601960e-02 -1.65042691e-02  9.99842644e-01
  1.12469472e-01  1.57186799e-02  3.68654996e-01  3.56359233e-05
 -1.84711516e-01  8.02984908e-02  3.51058781e-01  1.78339309e-04
 -6.86300471e-02  3.61419097e-02  7.35548377e-01  5.02902549e-04
 -2.03542516e-01  8.47946107e-02  8.04013968e-01  1.43899838e-03
 -6.28177673e-02  4.63425368e-02  7.90209293e-01  3.72886565e-03
 -2.02316523e-01  9.97332260e-02  8.27022314e-01  8.59778468e-03
 -1.43991075e-02  1.42307624e-01  8.29765856e-01  2.91084376e-04
 -2.22894996e-01  2.37505049e-01  8.41717303e-01  5.88809664e-04]"
1,"[ 6.10879779e-01 -5.19129038e-02 -1.20241396e-01  9.99932170e-01
  6.34581864e-01 -8.09345990e-02 -1.18752040e-01  9.99698281e-01
  6.35278165e-01 -8.04226175e-02 -1.07692160e-01  9.99844790e-01
  6.36527300e-01 -8.01425278e-02 -1.11371689e-01  9.99830723e-01
  6.40070260e-01 -7.88422748e-02 -1.62922710e-01  9.99758542e-01
  6.39347613e-01 -7.78166130e-02 -1.74096793e-01  9.99919176e-01
  6.29779875e-01 -6.77924007e-02 -1.52969629e-01  9.99875069e-01
  6.09357595e-01 -1.74115285e-01 -4.46733683e-02  9.99897838e-01
  5.33033192e-01 -1.61850825e-01 -1.93804130e-01  9.99823391e-01
  5.99420130e-01 -6.90189004e-02 -7.79706016e-02  9.99635339e-01
  5.56083500e-01 -6.24018088e-02 -1.47041544e-01  9.99613583e-01
  4.37073618e-01 -1.30530268e-01  1.21661894e-01  9.99973059e-01
  5.04121125e-01 -1.45805553e-01 -1.25671640e-01  9.99973893e-01
  4.39668328e-01  1.08113050e-01  1.72340795e-01  4.64354098e-01
  4.35180664e-01  1.11235470e-01 -2.13429317e-01  9.97997344e-01
  4.32642758e-01  3.42294306e-01  2.15536952e-01  6.51386738e-01
  4.60309505e-01  3.13828617e-01 -2.13624433e-01  9.98073816e-01
  5.09186685e-01  3.27907115e-01  2.43665725e-01  6.62739933e-01
  5.48988581e-01  3.33613575e-01 -2.84359396e-01  9.98172879e-01
  5.16605616e-01  3.20915371e-01  2.08674267e-01  6.75497591e-01
  6.09972119e-01  3.09269547e-01 -2.40287945e-01  9.98028696e-01
  4.38329220e-01  3.62549812e-01  2.02329367e-01  6.49510264e-01
  4.97233570e-01  3.09720725e-01 -2.05284253e-01  9.95567501e-01
 -2.07773875e-03  9.34505952e-04  1.17382884e-01  9.99854922e-01
  9.10891499e-03 -1.11263455e-03 -1.16144553e-01  9.99945045e-01
 -3.73038083e-01  1.55593127e-01  1.64804608e-01  2.38893181e-01
 -3.25682372e-01  1.35553777e-01 -7.14378580e-02  9.87815022e-01
 -6.90762043e-01  2.60276347e-01  3.05008411e-01  6.94574475e-01
 -7.28390992e-01  1.88792273e-01  1.34646269e-02  9.97692585e-01
 -7.26223886e-01  2.55608857e-01  3.27353209e-01  9.05833244e-01
 -7.62529314e-01  1.96068421e-01 -1.50570394e-02  9.96295750e-01
 -6.53636932e-01  3.17265868e-01  3.21876615e-01  9.16730225e-01
 -6.81912601e-01  2.58536220e-01 -6.78445771e-02  9.96482730e-01]"
0,"[-0.67454791  0.25321549 -0.09978561  0.99988544 -0.6916784   0.21918315
 -0.13586168  0.99986827 -0.69015354  0.21669902 -0.12343388  0.99986982
 -0.69231325  0.21890336 -0.12673183  0.99988866 -0.71103323  0.21044385
 -0.11297092  0.99991822 -0.70825416  0.2077567  -0.12514146  0.99993575
 -0.69586039  0.20027839 -0.10405654  0.99995005 -0.64842469  0.08730903
 -0.20005551  0.99994683 -0.63634491  0.07756759 -0.02507846  0.99994731
 -0.65065932  0.1947315  -0.10324637  0.99982268 -0.62412435  0.18752523
 -0.08247789  0.99976903 -0.49517319  0.02270954 -0.16608158  0.99995494
 -0.58456331 -0.05109361  0.16916549  0.99955231 -0.35200119 -0.00170298
 -0.22614253  0.99777079 -0.40763912 -0.11568424  0.23879451  0.13029279
 -0.3903136   0.16286588 -0.12539729  0.96150082 -0.42766598  0.1166959
  0.29456878  0.00796503 -0.44612372  0.20784619 -0.10949137  0.94623649
 -0.46351957  0.13070911  0.29025608  0.00880883 -0.4743284   0.20359395
 -0.09695064  0.94305998 -0.51475078  0.14258544  0.28356105  0.00871395
 -0.40035683  0.1574066  -0.11740719  0.91045994 -0.45430285  0.13737579
  0.28646326  0.00903475  0.00451171  0.01953541 -0.06982148  0.99983954
 -0.00930008 -0.02183568  0.06854205  0.99960822  0.44024912  0.00466472
 -0.06074659  0.91890424  0.33405772 -0.04602173  0.08813924  0.06145723
  0.81505829 -0.02442408 -0.02525789  0.97735071  0.76400739 -0.01620249
  0.17246199  0.16049701  0.85142601 -0.00302871 -0.0154359   0.98223382
  0.80080587 -0.01152898  0.13932897  0.39193177  0.8231144   0.11436685
 -0.02035502  0.97902328  0.75993657  0.09954113  0.12207989  0.37815967]"
1,"[-3.27601172e-02 -1.26967952e-01 -7.69730151e-01  9.79584813e-01
 -1.49745867e-02 -1.44702882e-01 -7.88611352e-01  9.31936681e-01
 -1.89642683e-02 -1.36013091e-01 -7.77785420e-01  9.05103505e-01
 -1.79254450e-02 -1.41112745e-01 -7.81191349e-01  9.22047377e-01
 -3.96284163e-02 -1.50300905e-01 -7.94835329e-01  9.72919583e-01
 -3.85414511e-02 -1.51819214e-01 -8.13638031e-01  9.78623033e-01
 -3.75861935e-02 -1.33366153e-01 -7.91864872e-01  9.86665010e-01
  5.67691848e-02 -1.72659725e-01 -7.11127937e-01  9.69006419e-01
 -9.13765058e-02 -1.25663161e-01 -7.09155202e-01  9.91578460e-01
  3.47276498e-03 -1.37500167e-01 -7.22880840e-01  9.85820293e-01
 -3.26363407e-02 -1.10337377e-01 -7.44497001e-01  9.92985427e-01
  1.86113030e-01 -1.72021210e-01 -5.27812839e-01  9.99905229e-01
 -1.54524431e-01 -2.08885416e-01 -5.02889156e-01  9.99963522e-01
  3.22214365e-01  2.94869766e-04 -5.29904783e-01  9.74515378e-01
 -2.69052774e-01  8.18210915e-02 -5.63387513e-01  9.95292306e-01
  3.47280711e-01  2.74364948e-01 -4.91707385e-01  7.12179124e-01
 -2.96671927e-01  3.39642227e-01 -6.26405478e-01  9.89593148e-01
  3.57756823e-01  2.82034725e-01 -5.02941966e-01  4.72436666e-01
 -2.97638953e-01  3.54503959e-01 -6.90636992e-01  9.59738076e-01
  2.96266884e-01  3.11629474e-01 -5.31673133e-01  5.65788031e-01
 -2.27263838e-01  3.45674276e-01 -6.97074354e-01  9.72280443e-01
  3.31335008e-01  3.14557135e-01 -5.01368105e-01  5.47661960e-01
 -2.72236377e-01  3.53498280e-01 -6.40314579e-01  9.57396090e-01
  9.08296034e-02  3.13915987e-03  3.39476019e-02  9.99935985e-01
 -9.18586552e-02 -5.29536419e-03 -3.54875848e-02  9.99971509e-01
  1.34095550e-01  2.66917735e-01  3.09214026e-01  4.72565681e-01
 -5.90626113e-02  1.89376175e-01  3.27717930e-01  2.95696467e-01
  1.58029169e-01  3.70392025e-01  7.01353729e-01  4.59146529e-01
 -8.32884312e-02  3.41323733e-01  7.20685959e-01  4.06525999e-01
  1.49223641e-01  3.80273312e-01  7.49945819e-01  1.33004963e-01
 -9.01519656e-02  3.54191899e-01  7.16478169e-01  6.51448816e-02
  1.60992309e-01  4.49363470e-01  6.88557863e-01  6.70638919e-01
 -8.68715048e-02  3.90748054e-01  6.14062190e-01  5.73157847e-01]"
0,"[ 0.62690407  0.00794787 -0.16199933  0.99995995  0.64472562 -0.02392245
 -0.16494243  0.99993825  0.64524144 -0.02063075 -0.15399291  0.99994671
  0.64586723 -0.02200707 -0.15780556  0.99995649  0.65129298 -0.01807686
 -0.20617093  0.99995935  0.64831328 -0.01573149 -0.21851397  0.99997163
  0.63991976 -0.01066307 -0.19596876  0.99997735  0.61794865 -0.08436233
 -0.10037632  0.99996221  0.53298229 -0.09092444 -0.22363254  0.99994886
  0.61470395  0.00700359 -0.12252128  0.99988556  0.56949437  0.00909444
 -0.18461022  0.99990904  0.48536518 -0.10819183  0.05035247  0.99997246
  0.49035779 -0.09054257 -0.13760051  0.99999201  0.3510386  -0.10516119
  0.13359755  0.55385983  0.23307179 -0.11354415 -0.18183723  0.9980045
  0.39621308  0.09617262  0.22509304  0.19754732  0.31668261  0.04381132
 -0.17149352  0.9975782   0.44899073  0.09559434  0.24465236  0.28270581
  0.38663709  0.08978172 -0.21667461  0.99680662  0.46121511  0.1046107
  0.22277965  0.30197561  0.4559651   0.09244809 -0.18952343  0.99663121
  0.39417279  0.11967236  0.21831049  0.27613175  0.35718459  0.05046431
 -0.16872375  0.99421847  0.01677214 -0.0100019   0.11604211  0.99993837
 -0.01137131  0.01174204 -0.11446221  0.99997699 -0.3313345   0.1120014
  0.17738771  0.36096793 -0.30314299  0.17325315 -0.10230271  0.99358118
 -0.61884689  0.21099083  0.30950898  0.59961581 -0.69938797  0.25276238
 -0.06513906  0.99372697 -0.64869499  0.20381451  0.32982865  0.78659195
 -0.73075557  0.26122847 -0.09433318  0.98945099 -0.59100968  0.25834608
  0.35756019  0.82035929 -0.66490233  0.3331975  -0.09888796  0.9903537 ]"
0,"[ 0.69454396  0.13922703 -0.22315192  0.99940848  0.70897841  0.10321259
 -0.21864237  0.9990766   0.70970106  0.10305514 -0.20611426  0.99906272
  0.70904374  0.10179435 -0.20907518  0.99934548  0.71558666  0.10358027
 -0.26413587  0.99961275  0.71272147  0.10380789 -0.27719399  0.99975091
  0.70296836  0.107365   -0.25460282  0.99982291  0.6642701   0.02701169
 -0.12683608  0.99965155  0.58515859 -0.00674326 -0.28327879  0.99957365
  0.67157191  0.13885924 -0.17686117  0.99918216  0.62849718  0.12689018
 -0.24613033  0.99944001  0.53574479  0.00704401  0.04028759  0.99961001
  0.4954105  -0.0028824  -0.1963678   0.99991012  0.51927435  0.07272749
  0.20918643  0.04304194  0.23990925  0.03001669 -0.31057689  0.99282008
  0.62455672  0.26689985  0.36050928  0.07434391  0.33564126  0.20109627
 -0.37949693  0.99914026  0.69714588  0.27480394  0.38895389  0.18040369
  0.40709198  0.25471166 -0.45065075  0.99921227  0.71316808  0.26858863
  0.37127125  0.20946445  0.46721622  0.26803768 -0.41735515  0.99916208
  0.62395269  0.28460073  0.35543716  0.20157352  0.37121326  0.21173847
 -0.37611684  0.99803787  0.02718733  0.01119053  0.12962756  0.99943751
 -0.01951882 -0.00952644 -0.12726071  0.999731   -0.34920105  0.02824594
  0.24169211  0.01275515 -0.32557443  0.06567779  0.00658553  0.52770078
 -0.66493154  0.06524915  0.44094518  0.06116162 -0.68582976  0.02473692
  0.21867988  0.73398924 -0.69454521  0.04838924  0.4702636   0.18025176
 -0.71486175  0.02585436  0.20208548  0.66424733 -0.67849004  0.12634769
  0.48159125  0.27168074 -0.69345719  0.1364214   0.18444405  0.73948509]"
1,"[-3.62495422e-01  7.53066689e-02 -6.20189846e-01  9.39102888e-01
 -3.49799633e-01  3.40041630e-02 -6.50848567e-01  9.53887820e-01
 -3.48585635e-01  3.77607495e-02 -6.37673676e-01  9.46051002e-01
 -3.50278258e-01  3.72749381e-02 -6.38410270e-01  9.52367902e-01
 -3.84408534e-01  3.11973542e-02 -6.35331213e-01  9.59354162e-01
 -3.81242126e-01  2.73602493e-02 -6.55400157e-01  9.68018591e-01
 -3.67904484e-01  2.69592032e-02 -6.29981101e-01  9.82674062e-01
 -2.64683634e-01 -5.80372587e-02 -6.49818718e-01  9.66225803e-01
 -3.21183562e-01 -2.32407767e-02 -5.41414201e-01  9.78209734e-01
 -3.24464560e-01  4.42917123e-02 -6.04630351e-01  9.21578884e-01
 -3.24829459e-01  4.93621156e-02 -6.00982547e-01  9.48721826e-01
 -9.90354046e-02 -3.82488668e-02 -5.09883583e-01  8.94443035e-01
 -4.59344774e-01 -9.05479193e-02 -3.05988759e-01  9.91079748e-01
 -4.43382636e-02  1.89630717e-01 -5.30171275e-01  8.66128266e-01
 -4.83898669e-01  7.88533464e-02 -1.83738470e-01  7.30860382e-02
 -3.06700543e-02  3.94292355e-01 -4.47896153e-01  5.73475838e-01
 -4.91833657e-01  3.17706078e-01 -1.74080536e-01  1.96275055e-01
 -5.33168390e-02  4.47140008e-01 -4.66571659e-01  5.45785606e-01
 -5.36541581e-01  3.27275366e-01 -2.11059898e-01  2.29101241e-01
 -8.27896819e-02  4.47146893e-01 -4.66160029e-01  6.24788165e-01
 -5.29392183e-01  3.12370181e-01 -2.40040421e-01  3.14491749e-01
 -2.84660310e-02  4.04373884e-01 -4.48481977e-01  4.96266782e-01
 -4.88770247e-01  3.30047637e-01 -1.92818195e-01  3.01790565e-01
  7.30705336e-02  4.01090458e-03 -5.64691536e-02  9.22793090e-01
 -7.87503198e-02 -7.66807888e-03  5.45446053e-02  9.64799583e-01
  2.06590533e-01  5.86355515e-02  2.62914568e-01  2.52669156e-02
  1.00195989e-01  4.32011932e-02  3.81826133e-01  4.44340520e-03
  3.36905837e-01 -1.64538063e-02  6.26512289e-01  1.14711776e-01
  2.60561407e-01  8.96195322e-02  7.70730495e-01  1.50513500e-02
  3.48236293e-01 -5.48224896e-04  6.71205699e-01  1.38899982e-01
  2.69064903e-01  1.05364859e-01  7.79767871e-01  3.94402258e-02
  3.31793070e-01  1.04122475e-01  6.65017307e-01  1.16805106e-01
  2.10711896e-01  1.81929857e-01  7.75922120e-01  3.46876606e-02]"
